study_id,experiment_id,dose_id,effect_id,control_id,crop,soil_texture,N_rate,treatment,control,mean_t,sd_t,n_t,mean_c,sd_c,n_c,treatment_id,lnRR,vi,sei,measure,dose_unit
FD03,FD03E1,FD03_N160,FD03_N160,FD03_N0,maize,sandy,160,N160,N0,4.752,0.492,6,4.4,0.4,6,FD03_N160,0.0769610411361281,0.0031640053736013,0.0562494922074976,ROM,kg N ha-1
FD04,FD04E1,FD04_N40,FD04_N40,FD04_N0,wheat,loam,40,N40,N0,4.128,0.408,5,4.0,0.44,5,FD04_N40,0.031498667059371,0.0043737587885343,0.0661343994342909,ROM,kg N ha-1
FD04,FD04E1,FD04_N80,FD04_N80,FD04_N0,wheat,loam,80,N80,N0,4.224,0.436,5,4.0,0.44,5,FD04_N80,0.0544881852840697,0.0045508611685032,0.0674600709197908,ROM,kg N ha-1
FD04,FD04E1,FD04_N120,FD04_N120,FD04_N0,wheat,loam,120,N120,N0,4.288,0.464,5,4.0,0.44,5,FD04_N120,0.0695260626486103,0.0047618355981287,0.0690060547932481,ROM,kg N ha-1
FD04,FD04E1,FD04_N160,FD04_N160,FD04_N0,wheat,loam,160,N160,N0,4.32,0.492,5,4.0,0.44,5,FD04_N160,0.0769610411361284,0.0050141358024691,0.0708105627888179,ROM,kg N ha-1
FD05,FD05E1,FD05_N40,FD05_N40,FD05_N0,maize,clay,40,N40,N0,4.438,0.408,4,4.3,0.45,4,FD05_N40,0.0315888018108853,0.0048508995318034,0.0696483993484666,ROM,kg N ha-1
FD05,FD05E1,FD05_N80,FD05_N80,FD05_N0,maize,clay,80,N80,N0,4.541,0.436,4,4.3,0.45,4,FD05_N80,0.0545322294162975,0.005042643020993,0.0710115696277238,ROM,kg N ha-1
FD05,FD05E1,FD05_N120,FD05_N120,FD05_N0,maize,clay,120,N120,N0,4.61,0.464,4,4.3,0.45,4,FD05_N120,0.0696128343090405,0.005270610301206,0.0725989690092499,ROM,kg N ha-1
FD05,FD05E1,FD05_N160,FD05_N160,FD05_N0,maize,clay,160,N160,N0,4.644,0.492,4,4.3,0.45,4,FD05_N160,0.0769610411361284,0.0055439543563754,0.0744577353696409,ROM,kg N ha-1
FD06,FD06E1,FD06_N40,FD06_N40,FD06_N0,wheat,sandy,40,N40,N0,4.025,0.408,6,3.9,0.41,6,FD06_N40,0.031548357734926,0.0035545164418094,0.0596197655296419,ROM,kg N ha-1
FD06,FD06E1,FD06_N80,FD06_N80,FD06_N0,wheat,sandy,80,N80,N0,4.118,0.436,6,3.9,0.41,6,FD06_N80,0.054391055469997,0.003710300371694,0.0609122349917818,ROM,kg N ha-1
FD06,FD06E1,FD06_N120,FD06_N120,FD06_N0,wheat,sandy,120,N120,N0,4.181,0.464,6,3.9,0.41,6,FD06_N120,0.0695738992388273,0.0038946846881319,0.0624074089201911,ROM,kg N ha-1
FD06,FD06E1,FD06_N160,FD06_N160,FD06_N0,wheat,sandy,160,N160,N0,4.212,0.492,6,3.9,0.41,6,FD06_N160,0.0769610411361281,0.0041160515472006,0.0641564614610301,ROM,kg N ha-1
FD07,FD07E1,FD07_N40,FD07_N40,FD07_N0,maize,loam,40,N40,N0,4.334,0.408,5,4.2,0.43,5,FD07_N40,0.0314063778248446,0.0038688158218811,0.0621998056418279,ROM,kg N ha-1
FD07,FD07E1,FD07_N80,FD07_N80,FD07_N0,maize,loam,80,N80,N0,4.435,0.436,5,4.2,0.43,5,FD07_N80,0.05444309047222,0.0040293000986274,0.063476768180394,ROM,kg N ha-1
FD07,FD07E1,FD07_N120,FD07_N120,FD07_N0,maize,loam,120,N120,N0,4.502,0.464,5,4.2,0.43,5,FD07_N120,0.0694372171952178,0.0042208632725556,0.0649681712268061,ROM,kg N ha-1
FD07,FD07E1,FD07_N160,FD07_N160,FD07_N0,maize,loam,160,N160,N0,4.536,0.492,5,4.2,0.43,5,FD07_N160,0.0769610411361281,0.0044493295260491,0.0667032947165962,ROM,kg N ha-1
FD08,FD08E1,FD08_N40,FD08_N40,FD08_N0,wheat,clay,40,N40,N0,4.644,0.408,6,4.5,0.47,6,FD08_N40,0.031498667059371,0.0031045325356604,0.0557183321327951,ROM,kg N ha-1
FD08,FD08E1,FD08_N80,FD08_N80,FD08_N0,wheat,clay,80,N80,N0,4.752,0.436,6,4.5,0.47,6,FD08_N80,0.0544881852840697,0.0032211431562161,0.0567551156832237,ROM,kg N ha-1
FD08,FD08E1,FD08_N120,FD08_N120,FD08_N0,wheat,clay,120,N120,N0,4.824,0.464,6,4.5,0.47,6,FD08_N120,0.0695260626486103,0.0033600563609078,0.0579659931417363,ROM,kg N ha-1
FD08,FD08E1,FD08_N160,FD08_N160,FD08_N0,wheat,clay,160,N160,N0,4.86,0.492,6,4.5,0.47,6,FD08_N160,0.0769610411361284,0.003526179952243,0.0593816465942386,ROM,kg N ha-1
